Country,Capital City,Latitude,Longitude,Column1,Zoom,Column2,,,,
Lithuania,Vilnius,54.6892,25.2798,62604,6,,,,Fragile and conflict affected situations,20449830.94
Ireland,Dublin,53.3331,-6.2489,68890,6,,,,Finland,303947.7
Georgia,Tbilisi,41.6941,44.8337,69490,6,,,,Fiji,18270
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,71020,6,,,,France,547557
Sierra Leone,Freetown,8.484,-13.2299,72180,6,,,,Faroe Islands,1370
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,74180,6,,,,"Micronesia, Fed. Sts.",700
Czechia,Praha (Prague),50.088,14.4208,77171.73,6,,,,Gabon,257670
Austria,Wien (Vienna),48.2064,16.3707,82520,6,,,,United Kingdom,241930
Azerbaijan,Baku,40.3777,49.892,82650,6,,,,Georgia,69490
Serbia,Beograd (Belgrade),44.8176,20.4633,84090,6,,,,Ghana,227533
Jordan,Amman,31.9552,35.945,88794,6,,,,Gibraltar,
Hungary,Budapest,47.498,19.0399,91260,6,,,,Guinea,245720
Portugal,Lisboa (Lisbon),38.7169,-9.1399,91605.6,6,,,,Gambia,10120
Malawi,Lilongwe,-13.9669,33.7873,94280,6,,,,Guinea-Bissau,28120
Liberia,Monrovia,6.3005,-10.7969,96320,6,,,,Equatorial Guinea,28050
Iceland,Reykjavík,64.1355,-21.8954,100830,6,,,,Greece,128900
Cuba,La Habana (Havana),23.1195,-82.3785,103800,6,,,,Grenada,340
Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,107160,6,,,,Greenland,410450
Bulgaria,Sofia,42.6975,23.3242,108560,6,,,,Guatemala,107160
Honduras,Tegucigalpa,14.0818,-87.2068,111890,6,,,,Guam,540
Benin,Cotonou,6.3654,2.4183,112760,6,,,,Guyana,196850
Nicaragua,Managua,12.1328,-86.2504,120340,6,,,,High income,51745159.29
Eritrea,Asmara,15.3333,38.9333,121040.829,6,,,,"Hong Kong SAR, China",
Greece,Athínai (Athens),37.9534,23.749,128900,6,,,,Honduras,111890
Bangladesh,Dhaka,23.7104,90.4074,130170,6,,,,Heavily indebted poor countries (HIPC),19394766.23
Tajikistan,Dushanbe,38.5358,68.7791,138790,6,,,,Croatia,55960
Nepal,Kathmandu,27.7017,85.3206,143350,6,,,,Haiti,27560
Tunisia,Tunis,36.819,10.1658,155360,6,,,,Hungary,91260
Suriname,Paramaribo,5.8664,-55.1668,160507.61,6,,,,IBRD only,70784043.32
Uruguay,Montevideo,-34.8335,-56.1674,175020,6,,,,IDA & IBRD total,96074858.87
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,176520,6,,,,IDA total,25290815.55
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,185179.709,6,,,,IDA blend,4903139.61
Senegal,Dakar,14.6937,-17.4441,192530,6,,,,Indonesia,1892555.47
Guyana,Georgetown,6.8045,-58.1553,196850,6,,,,IDA only,20387675.94
Uganda,Kampala,0.3163,32.5822,200520,6,,,,Isle of Man,570
Belarus,Minsk,53.9,27.5667,202990,6,,,,India,2973190
Ghana,Accra,5.556,-0.1969,500000,6,,,,Not classified,
Romania,Bucuresti (Bucharest),44.4328,26.1043,230080,6,,,,Ireland,68890
United Kingdom,London,51.5085,-0.1257,241930,6,,,,"Iran, Islamic Rep.",1622500
Guinea,Conakry,9.5716,-13.6476,245720,6,,,,Iraq,434128
Ecuador,Quito,-0.2299,-78.525,248360,6,,,,Iceland,100830
Gabon,Libreville,0.3925,9.4537,257670,6,,,,Israel,
New Zealand,Wellington,-41.2866,174.7756,263310,6,,,,Italy,295720
Burkina Faso,Ouagadougou,12.3642,-1.5383,273600,6,,,,Jamaica,10830
Italy,Roma (Rome),41.8947,12.4811,295720,6,,,,Jordan,88794
Philippines,Manila,14.6042,120.9822,298170,6,,,,Japan,364500
Finland,Helsinki,60.1692,24.9402,303947.7,6,,,,Kazakhstan,2699700
Poland,Warszawa (Warsaw),52.2298,21.0118,306090,6,,,,Kenya,569140
Oman,Masqat (Muscat),23.6139,58.5922,309500,6,,,,Kyrgyz Republic,191800
Viet Nam,Hà Noi,21.0245,105.8412,313429,6,,,,Cambodia,176520
Malaysia,Kuala Lumpur,3.1412,101.6865,328550,6,,,,Kiribati,810
Germany,Berlin,52.5244,13.4105,349360,6,,,,St. Kitts and Nevis,260
Norway,Oslo,59.9127,10.7461,364270,6,,,,"Korea, Rep.",97600
Japan,Tokyo,35.6895,139.6917,364500,6,,,,Kuwait,17820
Zimbabwe,Harare,-17.8294,31.0539,386850,6,,,,Latin America & Caribbean (excluding high income),17891857.67
Paraguay,Asunción,-25.3007,-57.6359,396012.042,6,,,,Lao PDR,230800
Sweden,Stockholm,59.3326,18.0649,407280,6,,,,Lebanon,10230
Greenland,Nuuk (Godthåb),64.1835,-51.7216,410450,6,,,,Liberia,96320
Iraq,Baghdad,33.3406,44.4009,434128,6,,,,Libya,1759540
Uzbekistan,Tashkent,41.2647,69.2163,440652,6,,,,St. Lucia,610
Morocco,Rabat,34.0133,-6.8326,446300,6,,,,Latin America & Caribbean,20042087.67
Papua New Guinea,Port Moresby,-9.4431,147.1797,452860,6,,,,Least developed countries: UN classification,20359033.23
Turkmenistan,Ashgabat,37.95,58.3833,469930,6,,,,Low income,13618280.54
Cameroon,Yaoundé,3.8667,11.5167,472710,6,,,,Liechtenstein,160
Spain,Madrid,40.4165,-3.7026,499713.681,6,,,,Sri Lanka,61860
Thailand,Krung Thep (Bangkok),13.722,100.5252,510890,6,,,,Lower middle income,18690019
France,Paris,48.8534,2.3488,547557,6,,,,Low & middle income,75963045.47
Botswana,Gaborone,-24.6545,25.9086,566730,6,,,,Lesotho,30360
Kenya,Nairobi,-1.2833,36.8167,569140,6,,,,Late-demographic dividend,44521535.79
